Unnamed: 0,Unnamed: 1,503_168_M,2.19,Unnamed: 4,Unnamed: 5,Unnamed: 6,1.33,Unnamed: 8,Unnamed: 9,Unnamed: 10,63,Unnamed: 12,Unnamed: 13,Unnamed: 14,5.4,Unnamed: 16,Unnamed: 17,Unnamed: 18,17,Unnamed: 20,Unnamed: 21,Unnamed: 22,75.4,Unnamed: 24,Unnamed: 25,Unnamed: 26,24.6,Unnamed: 28,Unnamed: 29,Unnamed: 30,31.8,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,5.14,Unnamed: 37,Unnamed: 38,Unnamed: 39,18.86,Unnamed: 41,Unnamed: 42,Unnamed: 43,575,Unnamed: 45,Unnamed: 46,Unnamed: 47,15.4,Unnamed: 49,Unnamed: 50,Unnamed: 51,46,Unnamed: 53,Unnamed: 54,Unnamed: 55,87.9,Unnamed: 57,Unnamed: 58,Unnamed: 59,30,Unnamed: 61,Unnamed: 62,Unnamed: 63,33.4,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
976,00979,R,2.22,0.8,0.8,Good,1.28,-0.2,0.2,Excellent,58,-0.6,0.6,Good,5..4,,,,16.6,-0.2,0.2,Excellent,74.8,-0.2,0.2,Excellent,24.4,-0.5,0.5,Excellent,32.5,0.3,0.3,Excellent,,5.33,0.6,0.6,Good,6.72,-17.6,17.6,Serious problem,576,0.1,0.1,Excellent,15.5,0.5,0.5,Excellent,46.2,0.2,0.2,Excellent,86.7,-0.3,0.3,Excellent,29.1,-0.5,0.5,Excellent,33.6,0.3,0.3,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 51,PHRH
979,00982,R,2.19,0,0,Excellent,1.46,0.4,0.4,Excellent,58,-0.6,0.6,Good,5.3,-1,1,Good,16.2,-0.5,0.5,Excellent,74,-0.5,0.5,Excellent,24.2,-1,1,Good,32.7,0.3,0.3,Excellent,,5.32,0.6,0.6,Good,19.22,0.5,0.5,Excellent,576,0.1,0.1,Excellent,15.3,-0.5,0.5,Excellent,45.6,-0.4,0.4,Excellent,85.7,-0.5,0.5,Excellent,28.8,-0.6,0.6,Good,33.6,0.3,0.3,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 1391,GNPH
981,00984,R,2.12,-1.8,1.8,Satisfactory,1.45,0.4,0.4,Excellent,51,-1.5,1.5,Satisfactory,5.4,0,0,Excellent,15.9,-0.7,0.7,Good,75,-0.1,0.1,Excellent,25.5,2.3,2.3,Unsatisfactory,34,0.8,0.8,Good,,5.14,0.0,0,Excellent,18.75,-0.2,0.2,Excellent,542,-2.1,2.1,Unsatisfactory,15.1,-1.5,1.5,Satisfactory,44.7,-1.2,1.2,Satisfactory,87,-0.2,0.2,Excellent,29.4,-0.3,0.3,Excellent,33.8,0.5,0.5,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 3,DMS
982,00985,R,2.18,-0.2,0.2,Excellent,0.58,-2.5,2.5,Unsatisfactory,58,-0.6,0.6,Good,5.4,0,0,Excellent,16.3,-0.4,0.4,Excellent,74.8,-0.2,0.2,Excellent,24.8,0.5,0.5,Excellent,33.1,0.5,0.5,Excellent,,5.27,0.4,0.4,Excellent,19.38,0.8,0.8,Good,556,-1.2,1.2,Satisfactory,15.4,0.0,0,Excellent,45.2,-0.7,0.7,Good,85.8,-0.5,0.5,Excellent,29.2,-0.4,0.4,Excellent,34.1,0.9,0.9,Good,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,-,,A167  Hemolysis,HM 11,DMS
984,00987,R,2.19,0,0,Excellent,1.4,0.2,0.2,Excellent,57,-0.8,0.8,Good,5.3,-1,1,Good,16.4,-0.4,0.4,Excellent,74.9,-0.2,0.2,Excellent,24.2,-1,1,Good,32.3,0.2,0.2,Excellent,,5.3,0.5,0.5,Excellent,19.64,1.1,1.1,Satisfactory,581,0.4,0.4,Excellent,15.4,0.0,0,Excellent,46.2,0.2,0.2,Excellent,87.2,-0.2,0.2,Excellent,29.1,-0.5,0.5,Excellent,33.3,-0.1,0.1,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 874,NGPH
985,00988,R,2.23,1,1,Good,1.55,0.7,0.7,Good,54,-1.1,1.1,Satisfactory,5.4,0,0,Excellent,16.8,-0.1,0.1,Excellent,75.3,0,0,Excellent,24.2,-1,1,Good,32.1,0.1,0.1,Excellent,,5.37,0.7,0.7,Good,18.56,-0.4,0.4,Excellent,575,0.0,0,Excellent,15.6,1.0,1,Good,46.8,0.7,0.7,Good,87.2,-0.2,0.2,Excellent,29.1,-0.5,0.5,Excellent,33.3,-0.1,0.1,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,-,14 พฤษภาคม 2568,,,,HM 812,NGPH
987,00990,R,2.26,1.8,1.8,Satisfactory,1.5,0.6,0.6,Good,66,0.4,0.4,Excellent,5.4,0,0,Excellent,17.5,0.3,0.3,Excellent,77.4,0.6,0.6,Good,23.9,-1.8,1.8,Satisfactory,30.9,-0.3,0.3,Excellent,,5.37,0.7,0.7,Good,19.33,0.7,0.7,Good,594,1.2,1.2,Satisfactory,15.4,0.0,0,Excellent,47.7,1.5,1.5,Satisfactory,88.8,0.2,0.2,Excellent,28.7,-0.7,0.7,Good,32.3,-1.4,1.4,Satisfactory,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,-,,,HM 1006,PHCH
988,00991,R,2.17,-0.5,0.5,Excellent,0.6,-2.4,2.4,Unsatisfactory,59,-0.5,0.5,Excellent,5.3,-1,1,Good,16.5,-0.3,0.3,Excellent,76,0.2,0.2,Excellent,24.4,-0.5,0.5,Excellent,32.1,0.1,0.1,Excellent,,5.2,0.2,0.2,Excellent,18.67,-0.3,0.3,Excellent,566,-0.6,0.6,Good,15.2,-1.0,1,Good,45.3,-0.6,0.6,Good,87.1,-0.2,0.2,Excellent,29.2,-0.4,0.4,Excellent,33.6,0.3,0.3,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN900,14 พฤษภาคม 2568,ควรปรับปรุงการย้อมสีสไลด์ การติดสียังไม่ได้มาตรฐาน สีของ RBC ติดสีชมพูอมน้ำเงิน,,Cell control No. A168 hemolysis,HM 728,GNPH
993,00996,R,2.15,-1,1,Good,1.37,0.1,0.1,Excellent,57,-0.8,0.8,Good,5.3,-1,1,Good,16.1,-0.6,0.6,Good,74.9,-0.2,0.2,Excellent,24.7,0.2,0.2,Excellent,32.9,0.4,0.4,Excellent,,5.3,0.5,0.5,Excellent,19.04,0.3,0.3,Excellent,571,-0.3,0.3,Excellent,15.3,-0.5,0.5,Excellent,46.1,0.1,0.1,Excellent,87,-0.2,0.2,Excellent,28.9,-0.6,0.6,Good,33.2,-0.2,0.2,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1192,NGPH
1000,01003,R,2.21,0.5,0.5,Excellent,1.18,-0.5,0.5,Excellent,65,0.3,0.3,Excellent,5.4,0,0,Excellent,16.8,-0.1,0.1,Excellent,76,0.2,0.2,Excellent,24.4,-0.5,0.5,Excellent,32.1,0.1,0.1,Excellent,,5.23,0.3,0.3,Excellent,8.43,-15.1,15.1,Serious problem,567,-0.5,0.5,Excellent,15.3,-0.5,0.5,Excellent,46.3,0.3,0.3,Excellent,88.5,0.1,0.1,Excellent,29.3,-0.4,0.4,Excellent,33,-0.5,0.5,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 268,PHCH
1003,01006,R,2.13,-1.5,1.5,Satisfactory,1.57,0.8,0.8,Good,55,-1,1,Good,5.4,0,0,Excellent,16,-0.6,0.6,Good,75.1,-0.1,0.1,Excellent,25.4,2,2,Satisfactory,33.8,0.7,0.7,Good,,5.24,0.3,0.3,Excellent,19.09,0.3,0.3,Excellent,560,-0.9,0.9,Good,15.5,0.5,0.5,Excellent,45.8,-0.2,0.2,Excellent,87.4,-0.1,0.1,Excellent,29.6,-0.2,0.2,Excellent,33.8,0.5,0.5,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1235,NGPH
1008,01011,R,2.23,1,1,Good,1.6,0.9,0.9,Good,57,-0.8,0.8,Good,5.5,1,1,Good,16.6,-0.2,0.2,Excellent,74.4,-0.3,0.3,Excellent,24.7,0.2,0.2,Excellent,33.1,0.5,0.5,Excellent,,5.43,0.9,0.9,Good,19.27,0.6,0.6,Good,572,-0.2,0.2,Excellent,15.5,0.5,0.5,Excellent,46.4,0.4,0.4,Excellent,85.5,-0.5,0.5,Excellent,28.5,-0.8,0.8,Good,33.4,0.0,0,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN2000,14 พฤษภาคม 2568,,,,HM 925,PHGH
1011,01014,R,2.23,1,1,Good,1.4,0.2,0.2,Excellent,60,-0.4,0.4,Excellent,5.4,0,0,Excellent,16.4,-0.4,0.4,Excellent,73.5,-0.6,0.6,Good,24.2,-1,1,Good,32.9,0.4,0.4,Excellent,,5.25,0.3,0.3,Excellent,19.98,1.6,1.6,Satisfactory,590,0.9,0.9,Good,15.2,-1.0,1,Good,44.6,-1.3,1.3,Satisfactory,85,-0.6,0.6,Good,29,-0.5,0.5,Excellent,34.1,0.9,0.9,Good,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 361,PHCH
1012,01015,R,2.2,0.3,0.3,Excellent,1.57,0.8,0.8,Good,49,-1.8,1.8,Satisfactory,5.3,-1,1,Good,16,-0.6,0.6,Good,72.7,-0.9,0.9,Good,24.1,-1.3,1.3,Satisfactory,33.1,0.5,0.5,Excellent,,5.37,0.7,0.7,Good,19.37,0.7,0.7,Good,563,-0.8,0.8,Good,15.1,-1.5,1.5,Satisfactory,45.5,-0.5,0.5,Excellent,84.7,-0.7,0.7,Good,28.1,-1.0,1,Good,33.2,-0.2,0.2,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1183,NGPH
1022,01025,R,2.19,0,0,Excellent,1.52,0.6,0.6,Good,62,-0.1,0.1,Excellent,5.2,-2,2,Satisfactory,16.5,-0.3,0.3,Excellent,75.3,0,0,Excellent,23.7,-2.3,2.3,Unsatisfactory,31.5,-0.1,0.1,Excellent,,5.22,0.3,0.3,Excellent,19.02,0.2,0.2,Excellent,569,-0.4,0.4,Excellent,15.1,-1.5,1.5,Satisfactory,45.5,-0.5,0.5,Excellent,87.2,-0.2,0.2,Excellent,28.9,-0.6,0.6,Good,33.2,-0.2,0.2,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 811,NGPH
1025,01028,R,2.18,-0.2,0.2,Excellent,1.22,-0.4,0.4,Excellent,59,-0.5,0.5,Excellent,5.3,-1,1,Good,16,-0.6,0.6,Good,73.4,-0.6,0.6,Good,24.3,-0.8,0.8,Good,33.1,0.5,0.5,Excellent,,5.28,0.4,0.4,Excellent,8.53,-15.0,15,Serious problem,544,-1.9,1.9,Satisfactory,15.2,-1.0,1,Good,45,-0.9,0.9,Good,85.2,-0.6,0.6,Good,28.8,-0.6,0.6,Good,33.8,0.5,0.5,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 803,NGPH
1028,01031,R,2.17,-0.5,0.5,Excellent,1.29,-0.1,0.1,Excellent,63,0,0,Excellent,5.3,-1,1,Good,16.2,-0.5,0.5,Excellent,74.7,-0.2,0.2,Excellent,24.4,-0.5,0.5,Excellent,32.7,0.3,0.3,Excellent,,4.89,-0.8,0.8,Good,7.42,-16.6,16.6,Serious problem,602,1.7,1.7,Satisfactory,15,-2.0,2,Satisfactory,51.9,5.4,5.4,Serious problem,106.1,4.0,4,Serious problem,30.7,0.4,0.4,Excellent,28.9,-5.6,5.6,Serious problem,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",XN series XN-1000,,XN1000,21 พฤษภาคม 2568,-,,,HM 928,PHCH
1038,01042,R,2.2,0.3,0.3,Excellent,1.54,0.7,0.7,Good,65,0.3,0.3,Excellent,5.6,2,2,Satisfactory,16.4,-0.4,0.4,Excellent,74.5,-0.3,0.3,Excellent,25.5,2.3,2.3,Unsatisfactory,34.1,0.9,0.9,Good,,5.24,0.3,0.3,Excellent,19.48,0.9,0.9,Good,584,0.6,0.6,Good,15.7,1.5,1.5,Satisfactory,44.9,-1.0,1,Good,85.7,-0.5,0.5,Excellent,30,0.0,0,Excellent,35,2.0,2,Satisfactory,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,แจ้งเมลแนบไฟล์รายงานในระบบ,,HM 1803,NGPH
1042,01046,R,2.19,0,0,Excellent,1.6,0.9,0.9,Good,62,-0.1,0.1,Excellent,5.4,0,0,Excellent,16.5,-0.3,0.3,Excellent,75.3,0,0,Excellent,24.7,0.2,0.2,Excellent,32.7,0.3,0.3,Excellent,,5.26,0.4,0.4,Excellent,18.93,0.1,0.1,Excellent,600,1.6,1.6,Satisfactory,15.4,0.0,0,Excellent,45.8,-0.2,0.2,Excellent,87.1,-0.2,0.2,Excellent,29.3,-0.4,0.4,Excellent,33.6,0.3,0.3,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 1060,DMS
1046,01050,R,2.24,1.3,1.3,Satisfactory,1.56,0.8,0.8,Good,64,0.1,0.1,Excellent,5.6,2,2,Satisfactory,17,0,0,Excellent,75.9,0.2,0.2,Excellent,25,1,1,Good,32.9,0.4,0.4,Excellent,,5.34,0.6,0.6,Good,18.65,-0.3,0.3,Excellent,581,0.4,0.4,Excellent,15.7,1.5,1.5,Satisfactory,46.7,0.6,0.6,Good,87.5,-0.1,0.1,Excellent,29.4,-0.3,0.3,Excellent,33.6,0.3,0.3,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1262,PHGH
1048,01052,R,2.21,0.5,0.5,Excellent,1.44,0.4,0.4,Excellent,70,0.9,0.9,Good,5.4,0,0,Excellent,16.7,-0.2,0.2,Excellent,75.6,0.1,0.1,Excellent,24.4,-0.5,0.5,Excellent,32.3,0.2,0.2,Excellent,,5.15,0.0,0,Excellent,18.82,-0.1,0.1,Excellent,577,0.1,0.1,Excellent,15.2,-1.0,1,Good,45,-0.9,0.9,Good,87.4,-0.1,0.1,Excellent,29.5,-0.3,0.3,Excellent,33.8,0.5,0.5,Excellent,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 924,PHGH
1049,01053,R,2.16,-0.7,0.7,Good,1.29,-0.1,0.1,Excellent,63,0,0,Excellent,5.3,-1,1,Good,16.1,-0.6,0.6,Good,74.5,-0.3,0.3,Excellent,24.5,-0.3,0.3,Excellent,32.9,0.4,0.4,Excellent,,5.55,1.3,1.3,Satisfactory,18.2,-1.0,1,Good,568,-0.4,0.4,Excellent,15.2,-1.0,1,Good,47,0.9,0.9,Good,86.5,-0.3,0.3,Excellent,28.4,-0.8,0.8,Good,32.3,-1.4,1.4,Satisfactory,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 387,PHCH
1055,01059,R,2.22,0.8,0.8,Good,1.48,0.5,0.5,Excellent,66,0.4,0.4,Excellent,5.47,0.7,0.7,Good,16.9,-0.1,0.1,Excellent,76.1,0.2,0.2,Excellent,24.6,0,0,Excellent,32.3,0.2,0.2,Excellent,,5.11,-0.1,0.1,Excellent,18.48,-0.6,0.6,Good,593,1.1,1.1,Satisfactory,15.5,0.5,0.5,Excellent,54.7,7.9,7.9,Serious problem,105.9,4.0,4,Serious problem,30.3,0.2,0.2,Excellent,28.3,-6.4,6.4,Serious problem,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 39,PHRH
1058,01062,R,2.15,-1,1,Good,1.52,0.6,0.6,Good,60,-0.4,0.4,Excellent,5.3,-1,1,Good,16,-0.6,0.6,Good,74.4,-0.3,0.3,Excellent,24.7,0.2,0.2,Excellent,33.1,0.5,0.5,Excellent,,5.22,0.3,0.3,Excellent,18.89,0.0,0,Excellent,572,-0.2,0.2,Excellent,15.6,1.0,1,Good,45.1,-0.8,0.8,Good,86.4,-0.3,0.3,Excellent,29.9,-0.1,0.1,Excellent,34.6,1.5,1.5,Satisfactory,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 464,PHCH
1063,01068,R,2.11,-2,2,Satisfactory,1.44,0.4,0.4,Excellent,98,4.4,4.4,Serious problem,5.4,0,0,Excellent,21.9,3.1,3.1,Serious problem,103.8,9.2,9.2,Serious problem,25.6,2.5,2.5,Unsatisfactory,24.7,-2.6,2.6,Unsatisfactory,,5.31,0.5,0.5,Excellent,19.24,0.6,0.6,Good,567,-0.5,0.5,Excellent,15.6,1.0,1,Good,45.3,-0.6,0.6,Good,85.3,-0.6,0.6,Good,29.4,-0.3,0.3,Excellent,34.4,1.3,1.3,Satisfactory,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,Slide C 168 มีพื้นที่ Standard area น้อยเกินไป ทำให้ยากต่อการ Differential .,,,HM 861,NGPH
