No.168 รายงานผล,Lab Code,รายงานผล,RBC,WBC,PLT,Hb,Hct,MCV,MCH,MCHC,Unnamed: 11,RBC.1,WBC.1,PLT.1,Hb.1,Hct.1,MCV.1,MCH.1,MCHC.1,Unnamed: 20,Brand_N,Brand_N.1,B_M_No,3.1.2 รุ่น (Model) หากไม่มีชื่อในรายการ กรุณาเลือกอื่นๆ,โปรดระบุชื่อเครื่องมือ (Brand) หากไม่มีชื่อในรายการ,โปรดระบุชื่อรุ่น (Model) หากไม่มีชื่อในรายการ,3.1.3 ชื่อรุ่น (Model),วันที่ส่งวัตถุทดสอบ,ข้อเสนอแนะ,หมายเหตุ,หมายเหตุ แจ้งวัตถุทดสอบเสีย,Labcode_HM เดิม,Type
191,00191,R,2.16,1.31,56,5.3,16,74.1,24.5,33.1,,5.28,17.58,581,15.5,45.4,86,29.4,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 755,NGPH
193,00193,R,,,,,,,,,,5.29,19.37,574,15.1,45.5,86,28.5,33.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,เครื่องตรวจวิเคราะห์ไม่สามารถรายงานผลได้ โทรประสานงานกรมวิทย์ อาจเกิดจากคุณภาพของตัวอย่าง,,HM 1129,NGPH
196,00196,R,2.22,1.31,55,5.5,16.8,75.7,24.8,32.7,,5.19,,558,15.5,45.2,87.1,29.9,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN Series,21 พฤษภาคม 2568,,,,HM 732,NGPH
198,00198,R,,1.33,76,5.3,20.9,,,25.4,,5.31,,562,15.3,45.3,85.3,28.8,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 696,GNPH
202,00202,R,2.25,1.27,68,5.5,16.9,75.1,24.4,32.5,,5.32,,586,15.5,45.9,86.3,29.1,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 700,GNPH
203,00203,R,2.18,1.48,65,5.4,16.3,74.8,24.8,33.1,,5.27,19.11,581,15.4,45.6,86.5,29.2,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 777,NGPH
204,00204,R,2.23,0.46,61,5.6,16.6,74.4,25.1,33.7,,4.38,18.25,607,15.2,45.3,103.4,34.7,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,-,,,HM 79,PHGH
211,00211,R,2.2,1.26,56,5.5,15.7,71.4,25,35,,5.3,,556,15.5,44.1,83.2,29.2,35.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,-,,,HM 204,PHCH
212,00212,R,2.18,1.45,61,5.5,16.2,74.3,25.2,34,,4.39,18.6,586,15.3,47,,34.9,32.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 714,GNPH
213,00213,R,2.12,1.27,79,5.3,22.4,,25,23.7,,5.44,,586,15.8,46.6,85.7,29,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 669,PHCH
219,00219,R,2.24,1.6,68,5.5,16.8,75,24.6,32.7,,4.32,18.14,532,15.4,46.6,,35.6,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 860,NGPH
225,00225,R,2.21,1.51,55,5.5,16.2,73.3,24.9,34,,,17.38,559,15.3,42.7,,,35.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 693,GNPH
228,00228,R,2.16,1.34,47,5.4,16.2,75,25,33.3,,4.23,16.86,582,15.4,44.6,,36.4,34.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1108,GNPH
229,00229,R,2.13,1.38,91,5.4,,,25.4,23.1,,5.18,18.8,565,15.3,45.4,87.6,29.5,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 889,NGPH
230,00230,R,2.23,1.51,,5.4,21.2,95.1,24.2,25.5,,5.42,19.24,570,15.5,46.8,86.3,28.6,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1108,GNPH
231,00231,R,2.06,1.15,85,5.4,22,,26.2,24.5,,5.25,,564,15,45.6,86.9,28.6,32.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1124,NGPH
234,00234,R,2.24,1.32,65,5.5,16.5,73.7,24.6,33.3,,5.29,,579,15.3,44.9,84.9,28.9,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 45,PHRH
236,00236,R,,1.18,74,5.4,20.3,,,26.6,,5.25,,560,15.7,45.3,86.3,29.9,34.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 786,NGPH
257,00257,R,2.2,1.39,59,5.4,16.2,73.8,24.6,33.3,,5.27,19.03,562,15.3,45.2,85.8,28.9,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 726,GNPH
265,00265,R,2.14,1.42,59,5.4,15.8,73.8,25.2,34.2,,4.55,18.65,590,15.5,47.5,104.4,34.1,32.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 456,PHCH
284,00284,R,2.16,1.31,61,5.3,15.6,72.2,24.5,34,,5.27,,573,15.3,44,83.5,29,34.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,ระบบดูสไลด์ดิจิตอลไม่สามารถเข้าดูได้,,,HM 422,PHCH
286,00286,R,2.24,1.38,68,5.4,17.3,77.2,24.1,31.2,,4.45,18.01,569,15.2,46.2,103.8,34.2,32.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 18,DMH
290,00290,R,2.19,1.43,59,5.3,16.8,76.7,24.2,31.5,,5.29,18.97,559,15.3,47.1,89,28.9,32.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1968,NGPH
291,00291,R,2.2,0.43,63,5.3,16.4,74.5,24.1,32.3,,5.32,19.15,598,15.4,46.3,87,28.9,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN2000,21 พฤษภาคม 2568,,,,HM 113,PHGH
296,00296,R,2.17,1.35,60,5.3,16,73.7,24.4,33.1,,4.45,,576,15.2,46.9,,34.2,32.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 17,DMS
304,00304,R,2.17,1.5,65,5.4,16.4,75.6,24.9,32.9,,5.24,18.73,561,15.3,45.6,87,29.2,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 1970,NGPH
310,00310,R,2.2,1.41,56,5.4,16.3,74.1,24.5,33.1,,,17.66,547,15.1,42.4,,,35.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 847,NGPH
311,00311,R,2.25,1.91,62,5.5,17,75.7,24.3,32.1,,5.26,23.16,567,15.5,46.2,87.9,29.5,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1169,GNPH
315,00315,R,2.25,1.31,85,5.5,22.3,99.1,24.4,24.7,,5.24,,567,15.5,45.6,87,29.6,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 118,PHGH
316,00316,R,2.19,1.38,60,5.4,16.6,75.8,24.7,32.5,,5.27,18.31,581,15.4,46.2,87.7,29.2,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 1217,PHGH
317,00317,R,2.06,1.45,61,,15.2,73.8,24.8,33.6,,5.26,19.37,563,15.4,45.1,85.7,29.3,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 723,GNPH
319,00319,R,2.11,1.39,82,5.3,,,25.1,23.3,,5.2,19.17,554,15.5,45.2,86.9,29.8,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 61,PHRH
320,00320,R,,1.59,60,5.2,14.5,74.4,,35.9,,4.6,19.33,523,,,85.4,31.5,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 1154,PHRH
321,00321,R,2.24,1.23,63,5.4,16.2,72.3,24.1,33.3,,5.28,,580,15.3,44.4,84.1,29,34.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN10,21 พฤษภาคม 2568,,,,HM 646,PHCH
328,00328,R,2.13,1.41,92,5.3,22,,24.9,24.1,,5.28,19.1,569,15.3,45.9,86,29,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 724,GNPH
329,00329,R,2.22,1.61,58,5.4,16.7,75.2,24.3,32.3,,4.53,18.18,597,15,47,103.8,33.1,31.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 912,NGPH
330,00330,R,2.25,0.55,64,5.4,17.1,76,24,31.6,,4.4,17.81,604,15.4,47.2,,35,32.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,-,21 พฤษภาคม 2568,,,,HM 776,NGPH
336,00336,R,2.16,1.33,66,5.5,16.6,76.9,25.5,33.1,,5.06,,632,15.7,,,30.9,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",XN Series,,XN3000,21 พฤษภาคม 2568,,,,HM 44,PHRH
344,00344,R,2.19,1.39,60,5.5,16.2,74,25.1,33.8,,5.32,18.99,598,15.5,45.8,86,28.9,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)","503 sysmex XN Series (XN-1000,1500,2000,3000,9000)",,XN1000,21 พฤษภาคม 2568,,,,HM 785,NGPH
359,00359,R,2.15,1.48,57,5.3,16.3,75.7,24.7,32.6,,5.23,18.85,570,15.3,45.9,87.8,29.3,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,สไลด์สเมียร์ C168 การติดสีแกรนูลของ Eosinophil ออกสีม่วงๆมากกว่าสีส้ม อยากให้ปรับปรุงการย้อมสีนิดนึงครับ ขอบคุณครับ,,,HM 1113,GNPH
373,00373,R,2.15,1.37,61,5.2,16.1,74.9,24.2,32.3,,5.31,18.91,576,15.3,46.2,87,28.8,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3100,14 พฤษภาคม 2568,,,,HM 103,PHGH
395,00395,R,2.24,1.22,69,5.4,16.6,74.1,24.1,32.5,,5.36,,578,15.4,46.1,86,28.7,33.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 1012,GNPH
397,00397,R,2.21,0.59,54,5.4,16.5,74.7,24.4,32.7,,5.3,19.11,572,15.4,45.8,85.9,28.9,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 1109,GNPH
400,00400,R,2.22,1.43,73,5.5,17,76.6,24.8,32.4,,5.25,19.18,584,15.5,46.6,88.8,29.5,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,ไม่สามารถเข้าสู่ระบบสไลด์ดิจิทัลได้,,,HM 699,GNPH
402,00402,R,2.22,1.46,59,5.5,17.3,77.9,24.8,31.8,,4.99,17.95,585,15.3,,104.8,30.7,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 630,PHCH
403,00403,R,2.2,1.33,54,5.3,16.4,74.5,24.1,32.3,,5.28,,567,15.3,45.6,86.4,29,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 1973,DMS
405,00405,R,2.21,1.51,60,5.4,16.4,74.2,24.4,32.9,,5.28,19.13,581,15.4,45.5,86.2,29.2,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 122,PHGH
406,00406,R,2.15,0.62,,5.4,22.6,,25.1,23.9,,5.26,19.66,578,15.7,45.3,86.1,29.8,34.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN2000,21 พฤษภาคม 2568,,,,HM 7,DMS
407,00407,R,2.16,1.3,63,5.4,16.7,77.3,25,32.3,,5.21,,561,15.3,46.4,89.1,29.4,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,ติดปัญหาในส่วนของการประเมินด้วยสไลด์ดิจิตอล คือไม่สามารถเข้าสู่หน้าเว็บได้,,,HM 91,PHRH
409,00409,R,2.18,1.57,57,5.3,16.2,74.3,24.3,32.7,,5.32,18.92,564,15.3,45.6,85.7,28.8,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 766,NGPH
410,00410,R,2.21,1.51,68,5.4,16.4,74.2,24.4,32.9,,4.74,17.53,572,15.5,48.6,102.5,32.7,31.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1473,NGPH
412,00412,R,2.17,1.43,58,5.4,16.5,76,24.9,32.7,,5.21,19.23,572,15.4,45.9,88.1,29.6,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN10,21 พฤษภาคม 2568,,,,HM 781,NGPH
422,00422,R,2.2,1.47,57,5.4,16.1,73.2,24.5,33.5,,5.3,19.76,580,15.5,45.5,85.8,29.2,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 467,PHCH
440,00440,R,2.23,1.49,57,5.4,16.5,74,24.1,32.7,,5.25,18.55,570,15.2,45.2,86,28.9,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 805,NGPH
442,00442,R,2.16,1.3,59,5.3,16.2,75,24.5,32.7,,5.22,,563,15.2,44.8,85.8,29.1,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1356,NGPH
443,00443,R,2.2,1.36,62,5.5,16.5,75,25,33.3,,5.26,19.04,561,15.5,46,87.5,29.5,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 772,NGPH
444,00444,R,2.14,1.45,60,5.3,16,74.8,24.8,33.1,,5.25,19.41,565,15.2,45.2,86.1,29,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1193,NGPH
