No.168 รายงานผล,Lab Code,รายงานผล,RBC,WBC,PLT,Hb,Hct,MCV,MCH,MCHC,Unnamed: 11,RBC.1,WBC.1,PLT.1,Hb.1,Hct.1,MCV.1,MCH.1,MCHC.1,Unnamed: 20,Brand_N,Brand_N.1,B_M_No,3.1.2 รุ่น (Model) หากไม่มีชื่อในรายการ กรุณาเลือกอื่นๆ,โปรดระบุชื่อเครื่องมือ (Brand) หากไม่มีชื่อในรายการ,โปรดระบุชื่อรุ่น (Model) หากไม่มีชื่อในรายการ,3.1.3 ชื่อรุ่น (Model),วันที่ส่งวัตถุทดสอบ,ข้อเสนอแนะ,หมายเหตุ,หมายเหตุ แจ้งวัตถุทดสอบเสีย,Labcode_HM เดิม,Type
979,00982,R,2.19,1.46,58,5.3,16.2,74,24.2,32.7,,5.32,19.22,576,15.3,45.6,85.7,28.8,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 1391,GNPH
981,00984,R,2.12,1.45,51,5.4,15.9,75,25.5,34,,5.14,18.75,542,15.1,44.7,87,29.4,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 3,DMS
982,00985,R,2.18,0.58,58,5.4,16.3,74.8,24.8,33.1,,5.27,19.38,556,15.4,45.2,85.8,29.2,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,-,,A167  Hemolysis,HM 11,DMS
984,00987,R,2.19,1.4,57,5.3,16.4,74.9,24.2,32.3,,5.3,19.64,581,15.4,46.2,87.2,29.1,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 874,NGPH
985,00988,R,2.23,1.55,54,5.4,16.8,75.3,24.2,32.1,,5.37,18.56,575,15.6,46.8,87.2,29.1,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,-,14 พฤษภาคม 2568,,,,HM 812,NGPH
987,00990,R,2.26,1.5,66,5.4,17.5,77.4,23.9,30.9,,5.37,19.33,594,15.4,47.7,88.8,28.7,32.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,-,,,HM 1006,PHCH
988,00991,R,2.17,0.6,59,5.3,16.5,76,24.4,32.1,,5.2,18.67,566,15.2,45.3,87.1,29.2,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN900,14 พฤษภาคม 2568,ควรปรับปรุงการย้อมสีสไลด์ การติดสียังไม่ได้มาตรฐาน สีของ RBC ติดสีชมพูอมน้ำเงิน,,Cell control No. A168 hemolysis,HM 728,GNPH
993,00996,R,2.15,1.37,57,5.3,16.1,74.9,24.7,32.9,,5.3,19.04,571,15.3,46.1,87,28.9,33.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1192,NGPH
1000,01003,R,2.21,1.18,65,5.4,16.8,76,24.4,32.1,,5.23,,567,15.3,46.3,88.5,29.3,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 268,PHCH
1003,01006,R,2.13,1.57,55,5.4,16,75.1,25.4,33.8,,5.24,19.09,560,15.5,45.8,87.4,29.6,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1235,NGPH
1008,01011,R,2.23,1.6,57,5.5,16.6,74.4,24.7,33.1,,5.43,19.27,572,15.5,46.4,85.5,28.5,33.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN2000,14 พฤษภาคม 2568,,,,HM 925,PHGH
1011,01014,R,2.23,1.4,60,5.4,16.4,73.5,24.2,32.9,,5.25,19.98,590,15.2,44.6,85,29,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 361,PHCH
1012,01015,R,2.2,1.57,49,5.3,16,72.7,24.1,33.1,,5.37,19.37,563,15.1,45.5,84.7,28.1,33.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1183,NGPH
1022,01025,R,2.19,1.52,62,5.2,16.5,75.3,23.7,31.5,,5.22,19.02,569,15.1,45.5,87.2,28.9,33.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 811,NGPH
1025,01028,R,2.18,1.22,59,5.3,16,73.4,24.3,33.1,,5.28,,544,15.2,45,85.2,28.8,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 803,NGPH
1028,01031,R,2.17,1.29,63,5.3,16.2,74.7,24.4,32.7,,4.89,,602,15,,,30.7,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",XN series XN-1000,,XN1000,21 พฤษภาคม 2568,-,,,HM 928,PHCH
1038,01042,R,2.2,1.54,65,5.6,16.4,74.5,25.5,34.1,,5.24,19.48,584,15.7,44.9,85.7,30,35,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,แจ้งเมลแนบไฟล์รายงานในระบบ,,HM 1803,NGPH
1042,01046,R,2.19,1.6,62,5.4,16.5,75.3,24.7,32.7,,5.26,18.93,600,15.4,45.8,87.1,29.3,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 1060,DMS
1046,01050,R,2.24,1.56,64,5.6,17,75.9,25,32.9,,5.34,18.65,581,15.7,46.7,87.5,29.4,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1262,PHGH
1048,01052,R,2.21,1.44,70,5.4,16.7,75.6,24.4,32.3,,5.15,18.82,577,15.2,45,87.4,29.5,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 924,PHGH
1049,01053,R,2.16,1.29,63,5.3,16.1,74.5,24.5,32.9,,5.55,18.2,568,15.2,47,86.5,28.4,32.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 387,PHCH
1055,01059,R,2.22,1.48,66,5.47,16.9,76.1,24.6,32.3,,5.11,18.48,593,15.5,,,30.3,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 39,PHRH
1058,01062,R,2.15,1.52,60,5.3,16,74.4,24.7,33.1,,5.22,18.89,572,15.6,45.1,86.4,29.9,34.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 464,PHCH
1063,01068,R,2.11,1.44,,5.4,21.9,,25.6,24.7,,5.31,19.24,567,15.6,45.3,85.3,29.4,34.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,Slide C 168 มีพื้นที่ Standard area น้อยเกินไป ทำให้ยากต่อการ Differential .,,,HM 861,NGPH
1068,01073,R,2.22,1.31,64,5.4,16.8,75.7,24.3,32.1,,4.62,17.27,573,15.4,50,,33.3,30.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 81,PHGH
1082,01088,R,2.16,1.59,62,5.2,16.1,74.5,24.1,32.3,,5.25,19.25,594,15.2,45.6,86.9,29,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",Sysmex,,XN1000,14 พฤษภาคม 2568,,,,HM 527,PHCH
1087,01093,R,2.17,1.35,63,5.3,16.2,74.7,24.4,32.7,,5.31,19.05,585,15.4,45.8,86.3,29,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 1018,GNPH
1104,01111,R,2.06,1.56,83,5.3,21.4,,25.7,24.8,,5.28,19.18,557,15.4,45.3,85.8,29.2,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 741,NGPH
1110,01117,R,2.12,0.54,60,5.3,15.5,73.1,25,34.2,,5.31,19.61,577,15.4,45.1,84.9,29,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1883,NGPH
1118,01125,R,2.17,1.37,60,5.3,16.5,76,24.4,32.1,,4.35,,582,15.3,48.1,,35.5,31.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 67,PHGH
1124,01131,R,2.22,1.42,62,5.4,16.6,74.8,24.3,32.5,,4.63,18,,15.3,49.5,,33,30.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 121,PHGH
1125,01132,R,2.18,1.43,57,5.4,16.2,74.3,24.8,33.3,,5.05,18.66,607,15.2,,104.4,30.1,,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 561,PHCH
1127,01134,R,2.18,0.58,59,5.3,16.3,74.8,24.3,32.5,,4.34,17.97,587,15.1,47.5,,34.8,31.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN10,21 พฤษภาคม 2568,,,,HM 1121,NGPH
1128,01135,R,2.16,0.54,56,5.3,16.1,74.5,24.5,32.9,,4.26,17.35,568,15,45.6,,35.2,32.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 783,NGPH
1129,01136,R,2.24,1.28,62,5.4,16.7,74.6,24.1,32.3,,5.2,,571,15.3,44.7,86,29.4,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1131,NGPH
1131,01138,R,2.2,1.29,51,5.4,17.1,77.7,24.5,31.6,,,,569,15.1,43.3,,,34.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1437,NGPH
1132,01139,R,2.2,1.44,65,5.3,15.9,72.9,24.3,33.3,,5.34,19.01,576,15.2,45.4,85,28.5,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,Slide ติดสีม่วงมากเกินไป ทำให้เห็น granule ของ Eosinophil ไม่ชัดเจน,,,HM 1813,NGPH
1137,01144,R,2.21,0.67,55,5.5,16.7,75.6,24.9,32.9,,5.35,19.6,569,15.6,46.8,87.5,29.2,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN10,21 พฤษภาคม 2568,,,,HM 784,NGPH
1140,01147,R,2.05,1.52,78,5.3,22.2,,25.9,23.9,,5.19,18.84,562,15.4,45.7,88.1,29.7,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 752,NGPH
1151,01158,R,2.16,1.43,84,5.3,,,24.5,22.9,,5.26,18.86,572,15.3,46.2,87.8,29.1,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1254,NGPH
1168,01175,R,2.2,1.4,56,5.5,16,72.7,25,34.4,,5.22,,585,15.4,44,84.3,29.5,35,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,,HM 950,PHCH
1181,01188,R,2.27,1.81,65,5.5,17,74.9,24.2,32.4,,4.8,18.33,627,15.1,50.7,,31.5,29.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1216,DMSc
1196,Ref03,R,2.24,1.5,83,5.4,16.9,75.4,24.1,32,,5.32,19.04,600,15.4,46.6,87.6,28.9,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,,21 พฤษภาคม 2568,,,,HM ref 3,SCPG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_01_68,N,503_168_M,211,214,210,214,210,192,211,213,,213,174,211,215,208,187,213,208,,Brand_No,Count Brand,B_M_No,Count_Model,,,,,,,,,
R,217,503_168_M,2.05,0.43,47,5.2,14.5,71.4,23.6,22.9,,4.2,16.86,523,14.8,42.4,83.2,28.1,29.8,,100,0,501,0,,,,,,,,,
NR,0,503_168_M,2.29,1.91,92,5.6,22.6,99.1,26.2,35.9,,5.55,23.16,632,15.8,50.7,104.8,36.4,35.8,,200,0,502,0,,,,,,,,,
,0,503_168_M,2.185118483412323,1.3267757009345795,62.7952380952381,5.379766355140176,16.954285714285717,75.3739583333333,24.625592417061597,31.777464788732406,,5.142582159624411,18.85804597701149,575.4407582938388,15.358604651162791,45.954807692307696,87.9427807486631,29.97746478873239,33.44086538461541,,300,0,503,217,,,,,,,,,
TOTAL,217,503_168_M,0.041142727061656545,0.29634451491373787,8.169904873180553,0.0804123270207211,1.624043543116528,3.086560796095389,0.4378616923830068,2.7435274008090698,,0.3175412602235664,0.6893271228284575,16.43631424890992,0.17696271051508294,1.1066666498770996,4.496389085311579,1.9390863329252104,0.841274178054171,,400,0,504,0,,,,,,,,,
,,503_168_M,0.12342818118496963,0.8890335447412137,24.509714619541658,0.2412369810621633,4.872130629349584,9.259682388286167,1.3135850771490205,8.23058220242721,,0.9526237806706992,2.0679813684853725,49.308942746729755,0.5308881315452488,3.319999949631299,13.489167255934737,5.817258998775631,2.5238225341625133,,500,217,505,0,,,,,,,,,
,,503_168_M,2.0616903022273534,0.43774215619336587,38.285523475696436,5.138529374078013,12.082155084936133,66.11427594504714,23.312007339912576,23.546882586305195,,4.189958378953712,16.790064608526116,526.1318155471091,14.827716519617542,42.6348077426764,74.45361349272837,24.16020578995676,30.917042850452894,,600,0,506,0,,,,,,,,,
,,503_168_M,2.308546664597293,2.215809245675793,87.30495271477976,5.621003336202339,21.8264163436353,84.63364072161947,25.939177494210618,40.00804699115962,,6.095205940295109,20.926027345496863,624.7497010405685,15.88949278270804,49.27480764193899,101.43194800459783,35.79472378750802,35.96468791877792,,700,0,507,0,,,,,,,,,
,,503_168_M,1.8828602372813794,22.335690554552144,13.010389196693076,1.4947178318234948,9.578955849187475,4.094996288300798,1.778075771609209,8.633562869313176,,6.1747435503637735,3.6553475565218556,2.856299977367436,1.1522056497605413,2.4081629440967998,5.112857527398498,6.468480061909883,2.5157069602666513,,800,0,508,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,900,0,509,0,,,,,,,,,
,,503_168_M,2.19,1.33,63,5.4,17,75.4,24.6,31.8,,5.14,18.86,575,15.4,46,87.9,30,33.4,,1000,0,Total,217,,,,,,,,,
,,503_168_M,0.04,0.3,8,0.1,1.6,3.1,0.4,2.7,,0.32,0.69,16,0.2,1.1,4.5,1.9,0.8,,1100,0,,,,,,,,,,,
,,503_168_M,2.11,0.7300000000000001,47,5.2,13.8,69.2,23.8,26.4,,4.5,17.48,543,15,43.8,78.9,26.2,31.799999999999997,,1200,0,,,,,,,,,,,
,,503_168_M,2.15,1.03,55,5.300000000000001,15.4,72.30000000000001,24.200000000000003,29.1,,4.819999999999999,18.169999999999998,559,15.200000000000001,44.9,83.4,28.1,32.6,,1300,0,,,,,,,,,,,
,,503_168_M,2.23,1.6300000000000001,71,5.5,18.6,78.5,25,34.5,,5.46,19.55,591,15.6,47.1,92.4,31.9,34.199999999999996,,1400,0,,,,,,,,,,,
,,503_168_M,2.27,1.9300000000000002,79,5.6000000000000005,20.2,81.60000000000001,25.400000000000002,37.2,,5.779999999999999,20.24,607,15.8,48.2,96.9,33.8,35,,1500,0,,,,,,,,,,,
,,503_168_M,< 2.11,< 0.73,< 47,< 5.2,< 13.8,< 69.2,< 23.8,< 26.4,,< 4.5,< 17.48,< 543,< 15,< 43.8,< 78.9,< 26.2,< 31.8,,1600,0,,,,,,,,,,,
,,503_168_M,2.11 - 2.14,0.73 - 1.02,47 - 54,5.2 - 5.2,13.8 - 15.3,69.2 - 72.2,23.8 - 24.1,26.4 - 29,,4.5 - 4.81,17.48 - 18.16,543 - 558,15 - 15.1,43.8 - 44.8,78.9 - 83.3,26.2 - 28,31.8 - 32.5,,1700,0,,,,,,,,,,,
,,503_168_M,2.15 - 2.23,1.03 - 1.63,55 - 71,5.3 - 5.5,15.4 - 18.6,72.3 - 78.5,24.2 - 25,29.1 - 34.5,,4.82 - 5.46,18.17 - 19.55,559 - 591,15.2 - 15.6,44.9 - 47.1,83.4 - 92.4,28.1 - 31.9,32.6 - 34.2,,1800,0,,,,,,,,,,,
,,503_168_M,2.24 - 2.27,1.64 - 1.93,72 - 79,5.6 - 5.6,18.7 - 20.2,78.6 - 81.6,25.1 - 25.4,34.6 - 37.2,,5.47 - 5.78,19.56 - 20.24,592 - 607,15.7 - 15.8,47.2 - 48.2,92.5 - 96.9,32 - 33.8,34.3 - 35,,1900,0,,,,,,,,,,,
,,503_168_M,> 2.27,> 1.93,> 79,> 5.6,> 20.2,> 81.6,> 25.4,> 37.2,,> 5.78,> 20.24,> 607,> 15.8,> 48.2,> 96.9,> 33.8,> 35,,2000,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2100,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2200,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2300,0,,,,,,,,,,,
,,503_168,216,216,216,215,216,216,216,216,,217,217,217,217,217,217,217,217,,2400,0,,,,,,,,,,,
,,503_168_M,216,216,216,216,216,216,216,216,,217,217,217,217,217,217,217,217,,2500,0,,,,,,,,,,,
,,503_168_M,1.85,0.23,47,5.1,14.5,71.4,23.6,18.6,,2.21,1.41,5.68,5.3,16.7,75.6,24,28.3,,9900,0,,,,,,,,,,,
,,503_168_M,5.23,19.11,574,15.3,45.5,109.9,29.3,35.9,,5.55,23.16,729,15.8,54.7,110.6,38.3,36.9,,Total,217,,,,,,,,,,,
,,503_168_M,2.1948611111111127,1.4040277777777785,65.97222222222223,5.424398148148138,17.231018518518518,78.56342592592593,24.6949074074074,31.681481481481487,,5.113225806451609,16.725852534562208,572.1321658986175,15.308294930875576,46.008755760368665,90.4046082949309,30.059907834101377,33.304147465437815,,Count blank,0,,,,,,,,,,,
,,503_168_M,0.21396148135558407,1.2479985760153856,36.042470641209945,0.6800694963094676,2.6815148234706014,9.608063731759929,0.6485920283920492,2.9401992702013735,,0.39520354539642827,4.382114462601185,55.86870984902526,0.7073197621630601,2.6210626238290815,7.746562974930271,2.1752832916366387,1.1778556066025758,,N > 20,,,,,,,,,,,,
,,503_168_M,0.6418844440667522,3.7439957280461567,108.12741192362984,2.0402084889284025,8.044544470411804,28.824191195279788,1.9457760851761476,8.82059781060412,,1.1856106361892849,13.146343387803556,167.60612954707577,2.1219592864891803,7.863187871487245,23.239688924790812,6.525849874909916,3.5335668198077275,,N< 20,,,,,,,,,,,,
,,503_168_M,1.5529766670443605,-2.3399679502683783,-42.15518970140761,3.384189659219736,9.186474048106714,49.73923473064614,22.74913132223125,22.860883670877367,,3.9276151702623245,3.5795091467586513,404.52603635154173,13.186335644386396,38.145567888881416,67.16491937014008,23.53405795919146,29.770580645630087,,,,,,,,,,,,,,
,,503_168_M,2.836745555177865,5.148023505823935,174.09963414585206,7.464606637076541,25.27556298893032,107.38761712120572,26.64068349258355,40.50207929208561,,6.298836442640894,29.872195922365762,739.7382954456932,17.430254217364755,53.87194363185591,113.64429721972171,36.58575770901129,36.83771428524554,,,,,,,,,,,,,,
,,503_168_M,9.748292512562198,88.88702885854953,54.63279760351823,12.537234136134343,15.56213766811709,12.229690366124,2.626420167088781,9.280498047163558,,7.729045427600331,26.199647841842495,9.76500067275107,4.620499966566846,5.696877867075098,8.56877002293768,7.236493550285922,3.5366634375641173,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,503_168_M,2.19,1.4,66,5.4,17.2,78.6,24.7,31.7,,5.11,16.73,572,15.3,46,90.4,30.1,33.3,,,,,,,,,,,,,,
,,503_168_M,0.21,1.25,36,0.7,2.7,9.6,0.6,2.9,,0.4,4.38,56,0.7,2.6,7.7,2.2,1.2,,,,,,,,,,,,,,
,,503_168_M,1.77,-1.1,-6,4,11.799999999999999,59.39999999999999,23.5,25.9,,4.3100000000000005,7.970000000000001,460,13.9,40.8,75,25.700000000000003,30.9,,,,,,,,,,,,,,
,,503_168_M,1.98,0.1499999999999999,30,4.7,14.5,69,24.099999999999998,28.8,,4.71,12.350000000000001,516,14.600000000000001,43.4,82.7,27.900000000000002,32.099999999999994,,,,,,,,,,,,,,
,,503_168_M,2.4,2.65,102,6.1000000000000005,19.9,88.19999999999999,25.3,34.6,,5.510000000000001,21.11,628,16,48.6,98.10000000000001,32.300000000000004,34.5,,,,,,,,,,,,,,
,,503_168_M,2.61,3.9,138,6.800000000000001,22.6,97.8,25.9,37.5,,5.91,25.490000000000002,684,16.7,51.2,105.80000000000001,34.5,35.699999999999996,,,,,,,,,,,,,,
,,503_168_M,< 1.77,< -1.1,< -6,< 4,< 11.8,< 59.4,< 23.5,< 25.9,,< 4.31,< 7.97,< 460,< 13.9,< 40.8,< 75,< 25.7,< 30.9,,,,,,,,,,,,,,
,,503_168_M,1.77 - 1.97,-1.1 - 0.14,-6 - 29,4 - 4.6,11.8 - 14.4,59.4 - 68.9,23.5 - 24,25.9 - 28.7,,4.31 - 4.7,7.97 - 12.34,460 - 515,13.9 - 14.5,40.8 - 43.3,75 - 82.6,25.7 - 27.8,30.9 - 32,,,,,,,,,,,,,,
,,503_168_M,1.98 - 2.4,0.15 - 2.65,30 - 102,4.7 - 6.1,14.5 - 19.9,69 - 88.2,24.1 - 25.3,28.8 - 34.6,,4.71 - 5.51,12.35 - 21.11,516 - 628,14.6 - 16,43.4 - 48.6,82.7 - 98.1,27.9 - 32.3,32.1 - 34.5,,,,,,,,,,,,,,
,,503_168_M,2.41 - 2.61,2.66 - 3.9,103 - 138,6.2 - 6.8,20 - 22.6,88.3 - 97.8,25.4 - 25.9,34.7 - 37.5,,5.52 - 5.91,21.12 - 25.49,629 - 684,16.1 - 16.7,48.7 - 51.2,98.2 - 105.8,32.4 - 34.5,34.6 - 35.7,,,,,,,,,,,,,,
,,503_168_M,> 2.61,> 3.9,> 138,> 6.8,> 22.6,> 97.8,> 25.9,> 37.5,,> 5.91,> 25.49,> 684,> 16.7,> 51.2,> 105.8,> 34.5,> 35.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500 all,2.19,1.72,64,5.4,16.9,74.7,24.6,31.7,,5.16,20.28,573,15.3,45.8,89.8,29.8,33.5,,,,,,,,,,,,,,
,,500 all,0.05,0.47,9,0.1,1.7,2.4,0.5,3.1,,0.33,1.53,23,0.2,1.3,7.9,2.1,0.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.002753713563286057,0.020507577810739898,0.5520524474738834,0.006835859270246633,0.11041048949477668,0.22372322931098002,0.02753713563286057,0.18500095165343355,,0.021926038714481014,0.05230876500694433,1.1014854253144228,0.01363988678940947,0.07627127698096901,0.3290725908572088,0.130185854867231,0.05547001962252292,,,,,,,,,,,,,,
,,,0.012,0.09,2.4,0.03,0.48,0.9299999999999999,0.12,0.81,,0.096,0.207,4.8,0.06,0.33,1.3499999999999999,0.57,0.24,,,,,,,,,,,,,,
,,,pass,pass,pass,pass,pass,pass,pass,pass,,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.19,1.33,63,5.4,17,75.4,24.6,31.8,,5.14,18.86,575,15.4,46,87.9,30,33.4,,,,,,,,,,,,,,
,,,0.04,0.3,8,0.1,1.6,3.1,0.4,2.7,,0.32,0.69,16,0.2,1.1,4.5,1.9,0.8,,,,,,,,,,,,,,
,,,1.8828602372813794,22.335690554552144,13.010389196693076,1.4947178318234948,9.578955849187475,4.094996288300798,1.778075771609209,8.633562869313176,,6.1747435503637735,3.6553475565218556,2.856299977367436,1.1522056497605413,2.4081629440967998,5.112857527398498,6.468480061909883,2.5157069602666513,,,,,,,,,,,,,,
,,,0.002753713563286057,0.020507577810739898,0.5520524474738834,0.006835859270246633,0.11041048949477668,0.22372322931098002,0.02753713563286057,0.18500095165343355,,0.021926038714481014,0.05230876500694433,1.1014854253144228,0.01363988678940947,0.07627127698096901,0.3290725908572088,0.130185854867231,0.05547001962252292,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.19,0.04,1.8828602372813794,0.002753713563286057,,,,,,5.14,0.32,6.1747435503637735,0.021926038714481014,,,,,,,,,,,,,,,,,,
,,,1.33,0.3,22.335690554552144,0.020507577810739898,,,,,,18.86,0.69,3.6553475565218556,0.05230876500694433,,,,,,,,,,,,,,,,,,
,,,63,8,13.010389196693076,0.5520524474738834,,,,,,575,16,2.856299977367436,1.1014854253144228,,,,,,,,,,,,,,,,,,
,,,5.4,0.1,1.4947178318234948,0.006835859270246633,,,,,,15.4,0.2,1.1522056497605413,0.01363988678940947,,,,,,,,,,,,,,,,,,
,,,17,1.6,9.578955849187475,0.11041048949477668,,,,,,46,1.1,2.4081629440967998,0.07627127698096901,,,,,,,,,,,,,,,,,,
,,,75.4,3.1,4.094996288300798,0.22372322931098002,,,,,,87.9,4.5,5.112857527398498,0.3290725908572088,,,,,,,,,,,,,,,,,,
,,,24.6,0.4,1.778075771609209,0.02753713563286057,,,,,,30,1.9,6.468480061909883,0.130185854867231,,,,,,,,,,,,,,,,,,
,,,31.8,2.7,8.633562869313176,0.18500095165343355,,,,,,33.4,0.8,2.5157069602666513,0.05547001962252292,,,,,,,,,,,,,,,,,,
